ticker,2023,roce_rank,coef_rank,std_rank,final_rank,price_picked,date
KMX,0.044171093,1334,1390,372,1496,73.8,2024_10_28
AEP,0.042643806,1261,1151,276,1242,98.99,2024_10_28
ROST,0.235046977,230,1708,1989,1243,143.82,2024_10_28
RLJ,0.068814898,1410,1108,654,1274,9.03,2024_10_28
ABG,0.148947561,594,1580,1056,1304,224.21,2024_10_28
PRAA,0.072207454,1311,1202,829,1309,19.04,2024_10_28
PFSI,0.05972272,937,1406,822,1313,101.77,2024_10_28
EIX,0.036760952,1441,1169,342,1345.5,84.64,2024_10_28
FCFS,0.122560231,787,1522,763,1347,106.25,2024_10_28
MODG,0.032924093,1310,1257,1137,1360,9.98,2024_10_28
IQV,0.104060526,744,1598,1638,1403,216.24,2024_10_28
AWK,0.05440308,1197,1365,235,1415,139.43,2024_10_28
DG,0.099313865,864,1596,1053,1450,81,2024_10_28
CIM,0.029569351,1171,1475,808,1493,15.32,2024_10_28
SJW,0.041237268,1415,1452,404,1571,57.35,2024_10_28
UTL,0.0634783134626514,939.0,1299.0,158.0,1219.0,57.75,2024_10_29
GPC,0.1906292980565722,517.0,1544.0,1043.0,1234.0,117.25,2024_10_29
AEP,0.0426438061687008,1261.0,1151.0,276.0,1242.0,97.35,2024_10_29
ROST,0.2350469773399431,230.0,1708.0,1989.0,1243.0,141.045,2024_10_29
RLJ,0.0688148983377801,1410.0,1108.0,654.0,1274.0,9.12,2024_10_29
PRAA,0.0722074543525943,1311.0,1202.0,829.0,1309.0,19.01,2024_10_29
PFSI,0.0597227200911186,937.0,1406.0,822.0,1313.0,101.99,2024_10_29
EIX,0.036760952089815,1441.0,1169.0,342.0,1345.5,83.395,2024_10_29
FCFS,0.1225602314631822,787.0,1522.0,763.0,1347.0,104.91,2024_10_29
MODG,0.0329240927670305,1310.0,1257.0,1137.0,1360.0,9.87,2024_10_29
IQV,0.1040605259560297,744.0,1598.0,1638.0,1403.0,216.56,2024_10_29
AWK,0.0544030800116659,1197.0,1365.0,235.0,1415.0,136.725,2024_10_29
DG,0.099313865292428,864.0,1596.0,1053.0,1450.0,81.7,2024_10_29
DLX,0.0773798532095091,842.0,1646.0,1767.0,1488.0,19.12,2024_10_29
CIM,0.0295693506739085,1171.0,1475.0,808.0,1493.0,15.39,2024_10_29
AVA,0.0375464228306708,1304.0,1420.0,246.0,1505.0,37.6,2024_10_29
PNW,0.0370297478106029,1357.0,1435.0,271.0,1540.5,87.22,2024_10_29
SJW,0.0412372681605775,1415.0,1452.0,404.0,1571.0,56.65,2024_10_29







PNW,0.0370297478106029,1357.0,1955.0,271.0,2006.0,85.83,2024_11_03
DLX,0.0773798532095091,842.0,2234.0,1767.0,2009.0,18.87,2024_11_03
ALRM,0.058218255524845,1140.0,2081.0,1013.0,2015.0,53.42,2024_11_03
APTV,0.0851895517515292,820.0,2291.0,1268.0,2042.0,56.37,2024_11_03
SJW,0.0412372681605775,1415.0,1977.0,404.0,2048.0,54.89,2024_11_03
ACEL,0.1363684844883517,676.0,2413.0,2355.0,2074.0,11.02,2024_11_03

BLKB,0.027772412922486,1068.0,2100.0,768.0,2002.0,81.0,2024_11_17
APTV,0.0851895517515292,820.0,2291.0,1268.0,2042.0,52.93,2024_11_17
SJW,0.0412372681605775,1415.0,1977.0,404.0,2048.0,54.8,2024_11_17
IBM,0.0880351150240824,963.0,2242.0,1180.0,2057.0,204.99,2024_11_17
MATV,-0.1562295125520414,1575.0,2128.0,1286.0,2159.0,11.96,2024_11_17

BLKB,0.027772412922486,1068.0,2100.0,768.0,2002.0,81.0,2024_11_17
APTV,0.0851895517515292,820.0,2291.0,1268.0,2042.0,52.93,2024_11_17
SJW,0.0412372681605775,1415.0,1977.0,404.0,2048.0,54.8,2024_11_17
IBM,0.0880351150240824,963.0,2242.0,1180.0,2057.0,204.99,2024_11_17
MATV,-0.1562295125520414,1575.0,2128.0,1286.0,2159.0,11.96,2024_11_17

BLKB,0.027772412922486,1068.0,2100.0,768.0,2002.0,81.0,2024_11_17
APTV,0.0851895517515292,820.0,2291.0,1268.0,2042.0,52.93,2024_11_17
SJW,0.0412372681605775,1415.0,1977.0,404.0,2048.0,54.8,2024_11_17
IBM,0.0880351150240824,963.0,2242.0,1180.0,2057.0,204.99,2024_11_17
MATV,-0.1562295125520414,1575.0,2128.0,1286.0,2159.0,11.96,2024_11_17

BLKB,0.027772412922486,1068.0,2100.0,768.0,2002.0,81.0,2024_11_18
APTV,0.0851895517515292,820.0,2291.0,1268.0,2042.0,52.93,2024_11_18
SJW,0.0412372681605775,1415.0,1977.0,404.0,2048.0,54.8,2024_11_18
IBM,0.0880351150240824,963.0,2242.0,1180.0,2057.0,204.99,2024_11_18
MATV,-0.1562295125520414,1575.0,2128.0,1286.0,2159.0,11.96,2024_11_18

BLKB,0.027772412922486,1068.0,2100.0,768.0,2002.0,81.0,2024_11_18
APTV,0.0851895517515292,820.0,2291.0,1268.0,2042.0,52.93,2024_11_18
SJW,0.0412372681605775,1415.0,1977.0,404.0,2048.0,54.8,2024_11_18
IBM,0.0880351150240824,963.0,2242.0,1180.0,2057.0,204.99,2024_11_18
MATV,-0.1562295125520414,1575.0,2128.0,1286.0,2159.0,11.96,2024_11_18

BLKB,0.027772412922486,1068.0,2100.0,768.0,2002.0,81.0,2024_11_18
APTV,0.0851895517515292,820.0,2291.0,1268.0,2042.0,52.93,2024_11_18
SJW,0.0412372681605775,1415.0,1977.0,404.0,2048.0,54.8,2024_11_18
IBM,0.0880351150240824,963.0,2242.0,1180.0,2057.0,204.99,2024_11_18
MATV,-0.1562295125520414,1575.0,2128.0,1286.0,2159.0,11.96,2024_11_18

GETY,0.060686180660977,888.0,2364.0,901.0,2107.0,2.9,2024_11_26
ABR,0.0074948808253701,800.0,2459.0,2437.0,2122.0,14.76,2024_11_26

APTV,0.0851895517515292,820.0,2291.0,1268.0,2042.0,55.28,2024_11_27
SJW,0.0412372681605775,1415.0,1977.0,404.0,2048.0,55.13,2024_11_27
GETY,0.060686180660977,888.0,2364.0,901.0,2107.0,2.94,2024_11_27
ABR,0.0074948808253701,800.0,2459.0,2437.0,2122.0,14.84,2024_11_27
MATV,-0.1562295125520414,1575.0,2128.0,1286.0,2159.0,13.48,2024_11_27




SJW,0.0412372681605775,1415.0,1977.0,404.0,2048.0,55.13,2024_11_27,0.6,potential_downtrend,60.0
